topic,name,full_name,url,stars,description,owner,language,last_updated,license,repo_type
api-development,FastAPI-Microservice-for-Django,codingforentrepreneurs/FastAPI-Microservice-for-Django,https://github.com/codingforentrepreneurs/FastAPI-Microservice-for-Django,87,"Deploy a microservice REST API endpoint for our Try Django 3.2 https://cfe.sh/projects/try-django-3-2 project using FastAPI, pytesseract, Do",codingforentrepreneurs,Python,2021-09,,tutorial
api-development,fastemplate,htbrandao/fastemplate,https://github.com/htbrandao/fastemplate,20,"REST API example built using FastAPI. Wrote this as a follow up after your 'Hello, wolrd' app.",htbrandao,Python,2021-08,MIT,tutorial
api-development,fastapi-rest-api-tutorial,juangcarmona/fastapi-rest-api-tutorial,https://github.com/juangcarmona/fastapi-rest-api-tutorial,16,Tutorial sobre la creación de una API REST con FastAPI y validación de modelos... ,juangcarmona,Python,2024-08,MIT,tutorial
api-development,tutorial-fast-api,felipythondev/tutorial-fast-api,https://github.com/felipythondev/tutorial-fast-api,15,Tutorial prático de FastAPI para iniciantes -    Python Brasil 2025. Aprenda a criar sua   primeira API REST em Python em 3h30.,felipythondev,Python,2025-11,,tutorial
cloud-computing,cloud-projects,mzazon/cloud-projects,https://github.com/mzazon/cloud-projects,472,"Over 1100 cloud recipes, projects, tutorials, and real-world solutions to gain hands-on experience across Amazon Web Services (AWS), Microso",mzazon,Shell,2025-12,,tutorial
cloud-computing,finops-tutorial,ahmadalibagheri/finops-tutorial,https://github.com/ahmadalibagheri/finops-tutorial,36,I explain some solution for reducing your cost in public cloud,ahmadalibagheri,HCL,2022-04,,tutorial
cloud-computing,cdktf-tutorial,ahmadalibagheri/cdktf-tutorial,https://github.com/ahmadalibagheri/cdktf-tutorial,15,Deploy many cdktf sample codes on all public cloud,ahmadalibagheri,,2022-04,,tutorial
bash-scripting,hello-bash-shell,mouredev/hello-bash-shell,https://github.com/mouredev/hello-bash-shell,2146,"Curso para aprender a trabajar con Bash (Bourne-again shell), línea de comandos, terminal y scripting desde cero utilizando Warp (la termina",mouredev,Shell,2025-11,Apache-2.0,tutorial
bash-scripting,Tutorials-for-Web-Developers,StevenSLXie/Tutorials-for-Web-Developers,https://github.com/StevenSLXie/Tutorials-for-Web-Developers,894,"Tutorials for web developers including bash scripting, Linux commands, MongoDB. Actively updating.",StevenSLXie,,2021-01,,tutorial
bash-scripting,shell-scripting-tutorial,techarkit/shell-scripting-tutorial,https://github.com/techarkit/shell-scripting-tutorial,681,"A complete begineers guide to learn shell scripting from scratch which includes Videos, Practice scenarios and project idea.",techarkit,Shell,2026-01,,tutorial
bash-scripting,Tools-termux,Taoviqinvicible/Tools-termux,https://github.com/Taoviqinvicible/Tools-termux,570,1.[Script Termux] -Cmatrix *apt-get update *apt-get upgrade *apt-get install nmap *apt-get install python *apt-get install list *apt-get ins,Taoviqinvicible,,2018-11,,tutorial
bash-scripting,oracle-linux,oracle/oracle-linux,https://github.com/oracle/oracle-linux,173,"Scripts, examples, and tutorials to get started with Oracle Linux",oracle,Shell,2026-03,UPL-1.0,tutorial
bash-scripting,bash-script-templates,devopshobbies/bash-script-templates,https://github.com/devopshobbies/bash-script-templates,45,"The complete bash script tutorial, reference, awesome examples",devopshobbies,Shell,2023-02,,awesome-list
bash-scripting,arch.linux.tutorial,sayems/arch.linux.tutorial,https://github.com/sayems/arch.linux.tutorial,24,"This repository contains scripts, configuration files, and Arch Linux installation guide",sayems,Shell,2025-02,Apache-2.0,tutorial
testing-ml,tutorial,BayesianTestsML/tutorial,https://github.com/BayesianTestsML/tutorial,80,Tutorial on Bayesian tests for Machine Learning,BayesianTestsML,Jupyter Notebook,2020-12,GPL-3.0,tutorial
testing-ml,Automating-Machine-Learning-Testing,kingabzpro/Automating-Machine-Learning-Testing,https://github.com/kingabzpro/Automating-Machine-Learning-Testing,41,Automating Machine Learning Testing using GitHub Actions and DeepChecks,kingabzpro,Python,2024-07,Apache-2.0,tutorial
testing-ml,python_data_science_tips,erikaduan/python_data_science_tips,https://github.com/erikaduan/python_data_science_tips,27,"A repository of Python tips for common data science tasks, including dataset unit testing and machine learning development for production",erikaduan,Jupyter Notebook,2022-04,,dataset
testing-ml,Gradio-Python-Tutorial,NhanPhamThanh-IT/Gradio-Python-Tutorial,https://github.com/NhanPhamThanh-IT/Gradio-Python-Tutorial,17,🧩 This repository provides a comprehensive tutorial on building interactive machine learning interfaces using Gradio in Python. It covers ba,NhanPhamThanh-IT,Python,2025-07,MIT,tutorial
testing-ml,ShedLight_UQ,GDelCorso/ShedLight_UQ,https://github.com/GDelCorso/ShedLight_UQ,11,"Detailed implementations, Jupyter tutorials and complete packages to implement and test Probabilistic Bayesian Deep Learning models. The rep",GDelCorso,Jupyter Notebook,2026-03,NOASSERTION,research
testing-ml,Python-Programming---Zero-to-Hero,Shriku/Python-Programming---Zero-to-Hero,https://github.com/Shriku/Python-Programming---Zero-to-Hero,8,"Python is an object oriented high level programming language. One of the simplest programming languages of all, and also the most used langu",Shriku,,2015-07,GPL-2.0,tutorial
testing-ml,Machine-Learning-AB-Testing,storieswithsiva/Machine-Learning-AB-Testing,https://github.com/storieswithsiva/Machine-Learning-AB-Testing,7,"📲🗜Experience how to implement Machine Learning for A/B Testing,Create a Split Object, and then Extract the Training and Testing sets🖥",storieswithsiva,Jupyter Notebook,2020-05,GPL-3.0,tutorial
